country,capital
Turks and Caicos Islands,Cockburn Town
Chad,N'Djamena
French Southern Territories,Port-aux-Francais
Togo,Lome
Thailand,Bangkok
Tajikistan,Dushanbe
Tokelau,
East Timor,Dili
Turkmenistan,Ashgabat
Tunisia,Tunis
Tonga,Nuku'alofa
Turkey,Ankara
Trinidad and Tobago,Port of Spain
Tuvalu,Funafuti
Taiwan,Taipei
Tanzania,Dodoma
Ukraine,Kiev
Uganda,Kampala
U.S. Minor Outlying Islands,
United States,Washington
Uruguay,Montevideo
Uzbekistan,Tashkent
Vatican City,Vatican City
Saint Vincent and the Grenadines,Kingstown
Venezuela,Caracas
British Virgin Islands,Road Town
U.S. Virgin Islands,Charlotte Amalie
Vietnam,Hanoi
Vanuatu,Port Vila
Wallis and Futuna,Mata Utu
Samoa,Apia
Kosovo,Pristina
Yemen,Sanaa
Mayotte,Mamoudzou
South Africa,Pretoria
Zambia,Lusaka
Zimbabwe,Harare
