Fin de la période,Pays,Code du territoire CLDR,Procédure judiciaire,Demandes de renseignements sur les utilisateurs,Pourcentage de demandes auxquelles nous avons partiellement accédé,Utilisateurs/Comptes spécifiés
06/30/2012,République tchèque,CZ,,44,32,44
06/30/2012,Allemagne,DE,,1533,39,2007
06/30/2012,Danemark,DK,,32,78,32
06/30/2012,Espagne,ES,,531,52,1037
06/30/2012,France,FR,,1546,42,1880
06/30/2012,Royaume-Uni,GB,,1425,64,1732
06/30/2012,Hong Kong,HK,,192,33,192
06/30/2012,Hongrie,HU,,92,0,139
06/30/2012,Irlande,IE,,34,6,34
06/30/2012,Israël,IL,,55,60,55
06/30/2012,Inde,IN,,2319,64,3467
06/30/2012,Italie,IT,,841,34,1054
06/30/2012,Japon,JP,,104,86,133
06/30/2012,Corée du Sud,KR,,423,35,917
06/30/2012,Mexique,MX,,71,45,136
06/30/2012,Pays-Bas,NL,,59,76,59
06/30/2012,Norvège,NO,,37,70,37
06/30/2012,Pologne,PL,,351,21,458
06/30/2012,Portugal,PT,,184,14,247
06/30/2012,Russie,RU,,58,0,58
06/30/2012,Singapour,SG,,89,70,97
06/30/2012,Turquie,TR,,112,0,120
06/30/2012,Taïwan,TW,,271,63,307
06/30/2012,États-Unis,US,,7969,90,16281
12/31/2012,Argentine,AR,,114,38,175
12/31/2012,Australie,AU,,584,65,711
12/31/2012,Belgique,BE,,120,63,153
12/31/2012,Brésil,BR,,1211,66,2526
12/31/2012,Canada,CA,,38,24,77
12/31/2012,Suisse,CH,,49,67,59
12/31/2012,Chili,CL,,109,58,168
12/31/2012,République tchèque,CZ,,51,31,84
12/31/2012,Allemagne,DE,,1550,42,1944
12/31/2012,Danemark,DK,,34,59,41
12/31/2012,Espagne,ES,,447,49,665
12/31/2012,France,FR,,1693,44,2063
12/31/2012,Royaume-Uni,GB,,1458,70,1918
12/31/2012,Hong Kong,HK,,255,31,251
12/31/2012,Hongrie,HU,,95,0,151
12/31/2012,Israël,IL,,56,59,66
12/31/2012,Inde,IN,,2431,66,4106
12/31/2012,Italie,IT,,846,34,1051
12/31/2012,Japon,JP,,124,62,149
12/31/2012,Corée du Sud,KR,,355,30,771
12/31/2012,Mexique,MX,,90,24,150
12/31/2012,Pologne,PL,,409,17,500
12/31/2012,Portugal,PT,,200,30,278
12/31/2012,Russie,RU,,97,1,123
12/31/2012,Singapour,SG,,96,75,153
12/31/2012,Turquie,TR,,149,0,144
12/31/2012,Taïwan,TW,,290,74,366
12/31/2012,États-Unis,US,Autre,758,90,1249
12/31/2012,États-Unis,US,Citation à comparaître,5784,88,10390
12/31/2012,États-Unis,US,Mandat de perquisition,1896,88,3152
